# B1 - Intermediate Level Words (CEFR B1)
# Format: english|category|partOfSpeech
# Intermediate vocabulary for confident everyday communication
# Abstract Concepts & General
benchmark analysis|Business Analysis|noun
bilateral|General|adjective
biosecurity|Science|noun
board of directors|Business & Finance|noun
bottom-up|General|adjective
brain drain|Work & Career|noun
brand awareness|Business & Finance|noun
bridging|General|noun
bureaucratic|General|adjective
business cycle|Business & Finance|noun
buyer's market|Business & Finance|noun
capacity building|General|noun
cash flow statement|Business & Finance|noun
catching up|General|phrase
causal|General|adjective
centralized|General|adjective
change management|Work & Career|noun
chronological|General|adjective
civic duty|General|noun
civil rights|General|noun
clearance|General|noun
climate action|Science|noun
coalition building|General|noun
code of conduct|Work & Career|noun
cognitive load|Education|noun
cold war|General|noun
collective|General|adjective
colonialism|General|noun
commercial bank|Business & Finance|noun
common good|General|noun
community outreach|General|noun
compulsory education|Education|noun
conceptual framework|Education|noun
conciliatory|General|adjective
conditional|General|adjective
conflict of interest|Work & Career|noun
conformity|General|noun
consensus|General|noun
consumer confidence|Business & Finance|noun
contentious|General|adjective
contingency plan|Work & Career|noun
convergence|General|noun
corporate strategy|Business & Finance|noun
counterargument|General|noun
counterclaim|General|noun
credit rating|Business & Finance|noun
critical analysis|Education|noun
cross-border|General|adjective
current account|Business & Finance|noun
cyclical|Business & Finance|adjective
data-driven|Technology|adjective
debt ceiling|Business & Finance|noun
decision making|Work & Career|noun
decolonization|General|noun
default|Business & Finance|noun
democratic values|General|noun
developing world|General|noun
differentiated|Education|adjective
digital economy|Technology|noun
disability rights|General|noun
discourse|General|noun
displacement|General|noun
diverge|General|verb
dominant|General|adjective
downward trend|Business & Finance|noun
due process|General|noun
economic forecasting|Business & Finance|noun
emitting|Science|verb
empirical data|Science|noun
entrepreneurial|Business & Finance|adjective
environmental impact|Science|noun
escalation|General|noun
essential service|General|noun
ethical framework|General|noun
evolutionary|Science|adjective
exchange rate|Business & Finance|noun
execution|Work & Career|noun
exit strategy|Business & Finance|noun
experimental|Science|adjective
financial inclusion|Business & Finance|noun
fiscal deficit|Business & Finance|noun
fixed income|Business & Finance|noun
flight of capital|Business & Finance|noun
food chain|Science|noun
forced migration|General|noun
foreclosure|Business & Finance|noun
formative|Education|adjective
fossil fuel|Science|noun
free trade|Business & Finance|noun
freedom of speech|General|noun
funding gap|Business & Finance|noun
general equilibrium|Business & Finance|noun
glass ceiling|Work & Career|noun
global supply chain|Business & Finance|noun
governance gap|General|noun
green economy|Science|noun
gross national product|Business & Finance|noun
growth strategy|Business & Finance|noun
guided|Education|adjective
habitual|General|adjective
hard power|General|noun
harm reduction|Health|noun
hate crime|General|noun
health disparity|Health|noun
heightened|General|adjective
holistic approach|General|noun
humanitarian aid|General|noun
hybrid work|Work & Career|noun
ideological|General|adjective
inclusive economy|Business & Finance|noun
income distribution|Business & Finance|noun
independent variable|Science|noun
indigenous|General|adjective
inductive|General|adjective
inequality index|Business & Finance|noun
informed consent|Health|noun
input-output|General|noun
institutional|General|adjective
intellectual freedom|Education|noun
intergenerational|General|adjective
intergovernmental|General|adjective
internal audit|Business & Finance|noun
interpretive|Education|adjective
intersectionality|General|noun
interventionist|General|adjective
job market|Work & Career|noun
job security|Work & Career|noun
key performance|Work & Career|noun
knowledge economy|Business & Finance|noun
layoff|Work & Career|noun
lean production|Work & Career|noun
legal aid|General|noun
legitimacy|General|noun
living wage|Work & Career|noun
local authority|General|noun
long-run|Business & Finance|adjective
macro-economic|Business & Finance|adjective
marginalized group|General|noun
market failure|Business & Finance|noun
maternity leave|Work & Career|noun
measurable|General|adjective
media bias|General|noun
mediator|General|noun
mental resilience|Health|noun
migration policy|General|noun
modelling|General|noun
monetary union|Business & Finance|noun
multilateral|General|adjective
national debt|Business & Finance|noun
natural capital|Science|noun
neoliberal|Business & Finance|adjective
net zero|Science|noun
non-profit|General|adjective
normalization|General|noun
novel approach|General|noun
objective criteria|General|noun
open economy|Business & Finance|noun
operational risk|Business & Finance|noun
oversight body|General|noun
paradigm shift|General|noun
participatory|General|adjective
partnership agreement|Business & Finance|noun
paternity leave|Work & Career|noun
peer review|Education|noun
performance indicator|Work & Career|noun
policy reform|General|noun
political economy|Business & Finance|noun
population growth|Science|noun
positive discrimination|Work & Career|noun
post-industrial|General|adjective
power sharing|General|noun
predatory pricing|Business & Finance|noun
premium|Business & Finance|noun
proactive approach|Work & Career|noun
productivity gap|Work & Career|noun
proportional representation|General|noun
protectionist|Business & Finance|adjective
public deficit|Business & Finance|noun
quantitative easing|Business & Finance|noun
reparation|General|noun
republican|General|adjective
retraining|Work & Career|noun
revenue stream|Business & Finance|noun
rights-based|General|adjective
risk-sharing|Business & Finance|noun
role model|General|noun
safe haven|General|noun
self-governance|General|noun
self-regulation|General|noun
sense of belonging|General|noun
social cohesion|General|noun
social contract|General|noun
social enterprise|Business & Finance|noun
social inequality|General|noun
soft power|General|noun
sovereign debt|Business & Finance|noun
speculative bubble|Business & Finance|noun
stakeholder engagement|Business & Finance|noun
state-owned|General|adjective
strategic partnership|Business & Finance|noun
structural adjustment|Business & Finance|noun
student loan|Education|noun
subjective|General|adjective
subsistence|General|noun
summit|General|noun
sustainable finance|Business & Finance|noun
systemic change|General|noun
tax haven|Business & Finance|noun
theoretical framework|Education|noun
think tank|General|noun
trade surplus|Business & Finance|noun
trickle-down|Business & Finance|adjective
unilateral action|General|noun
universal basic income|General|noun
unregulated|General|adjective
upward mobility|General|noun
urban sprawl|General|noun
vertical integration|Business & Finance|noun
virtual learning|Education|noun
waste reduction|Science|noun
welfare state|General|noun
whistle-blower|Work & Career|noun
white-collar|Work & Career|adjective
working class|General|noun
workload|Work & Career|noun
world bank|Business & Finance|noun

abstain|General|verb
acceleration|Science|noun
accessibility|General|noun
accumulation|Business & Finance|noun
achievement gap|Education|noun
acne|Health|noun
acute care|Health|noun
administrative|Work & Career|adjective
affiliated|General|adjective
aggregate demand|Business & Finance|noun
agri-business|Business & Finance|noun
aid worker|Work & Career|noun
algorithmic bias|Technology|noun
anemia|Health|noun
animal welfare|Science|noun
annexation|General|noun
anti-competitive|Business & Finance|adjective
anti-discrimination|Work & Career|adjective
antibiotics|Health|noun
antitrust|Business & Finance|noun
appetite suppression|Health|noun
applied research|Science|noun
appropriate technology|Technology|noun
arbitrage|Business & Finance|noun
assetization|Business & Finance|noun
assistive technology|Technology|noun
asylum seeker|General|noun
authority figure|General|noun
basic income|General|noun
behavioral therapy|Health|noun
biodegradable|Science|adjective
biomass|Science|noun
biomedical|Health|adjective
blended learning|Education|noun
blue-chip|Business & Finance|adjective
border control|Travel|noun
brain plasticity|Health|noun
brand loyalty|Business & Finance|noun
bribery|General|noun
bureaucratic inefficiency|General|noun
byproduct|General|noun
cap and trade|Science|noun
capital formation|Business & Finance|noun
carbon neutral|Science|adjective
cash reserve|Business & Finance|noun
centrally planned|Business & Finance|adjective
child labor|Work & Career|noun
chronic disease|Health|noun
circular economy|Science|noun
civil servant|Work & Career|noun
class mobility|General|noun
clean technology|Science|noun
climate change|Science|noun
clinical trial|Health|noun
coercive|General|adjective
cohabitation|General|noun
collaborative learning|Education|noun
collective action|General|noun
colonized|General|adjective
commercial law|Business & Finance|noun
committed|General|adjective
commodities market|Business & Finance|noun
community college|Education|noun
comparative advantage|Business & Finance|noun
compromise|General|noun
concentration of power|General|noun
conditional cash transfer|Business & Finance|noun
consumer rights|Business & Finance|noun
contested|General|adjective
contract law|Business & Finance|noun
contraception|Health|noun
corporate scandal|Business & Finance|noun
corporate tax|Business & Finance|noun
counterterrorism|General|noun
cronyism|General|noun
cross-subsidization|Business & Finance|noun
crowdfunding|Business & Finance|noun
cultural appropriation|General|noun
currency devaluation|Business & Finance|noun
debt forgiveness|Business & Finance|noun
debt-to-income ratio|Business & Finance|noun
decarbonization|Science|noun
defamation|General|noun
demographic dividend|General|noun
desertification|Science|noun
differentiated instruction|Education|noun
diplomatic relations|General|noun
disruptive startup|Business & Finance|noun
diversification|Business & Finance|noun
domestic violence|Health|noun
drone technology|Technology|noun
drug resistance|Health|noun
ecological footprint|Science|noun
economic integration|Business & Finance|noun
economic zone|Business & Finance|noun
educational attainment|Education|noun
efficiency wage|Work & Career|noun
electronic health record|Health|noun
embodied carbon|Science|noun
emergency fund|Business & Finance|noun
emotional labor|Work & Career|noun
employer mandate|Work & Career|noun
employment contract|Work & Career|noun
empowerment zone|General|noun
endowment fund|Business & Finance|noun
energy poverty|Science|noun
enforcement mechanism|General|noun
environmental degradation|Science|noun
epidemiology|Health|noun
equitable access|General|noun
ethical investment|Business & Finance|noun
evaluative|Education|adjective
exchange program|Education|noun
exclusive rights|Business & Finance|noun
extremism|General|noun
fact-checking|General|noun
fair wage|Work & Career|noun
family planning|Health|noun
famine|General|noun
financial crisis|Business & Finance|noun
fiscal responsibility|Business & Finance|noun
food desert|Health|noun
forced labor|Work & Career|noun
foreign direct investment|Business & Finance|noun
fossil record|Science|noun
fragmented|General|adjective
free market|Business & Finance|noun
freedom of assembly|General|noun
friction costs|Business & Finance|noun
functional literacy|Education|noun
GDP per capita|Business & Finance|noun
global citizen|General|noun
good governance|General|noun
grassroots movement|General|noun
harm reduction policy|Health|noun
health equity|Health|noun
health insurance|Health|noun
high-value|Business & Finance|adjective
host country|Travel|noun
housing policy|General|noun
human development index|General|noun
human trafficking|General|noun
humanitarian crisis|General|noun
immigration reform|General|noun
imported inflation|Business & Finance|noun
inclusive education|Education|noun
income tax|Business & Finance|noun
information overload|General|noun
institutional racism|General|noun
insurance premium|Business & Finance|noun
intellectual disability|Health|noun
interest group|General|noun
intergenerational poverty|General|noun
international law|General|noun
international trade|Business & Finance|noun
intersecting|General|adjective
job creation|Work & Career|noun
judicial review|General|noun
just transition|Science|noun
knowledge transfer|Education|noun
labor rights|Work & Career|noun
land reform|General|noun
labor union|Work & Career|noun
laissez-faire|Business & Finance|adjective
land use|Science|noun
latent infection|Health|noun
law enforcement|General|noun
legal framework|General|noun
limited liability|Business & Finance|noun
logistical bottleneck|Work & Career|noun
loss and damage|Science|noun
low-carbon|Science|adjective
low-income|General|adjective
macro-level|General|adjective
managed care|Health|noun
market access|Business & Finance|noun
maternal health|Health|noun
media ownership|General|noun
mental health policy|Health|noun
microaggression|General|noun
microgrid|Science|noun
migrant worker|Work & Career|noun
minimum wage|Work & Career|noun
misinformation|General|noun
mixed economy|Business & Finance|noun
mobile payment|Technology|noun
moral hazard|Business & Finance|noun
multinational corporation|Business & Finance|noun
mutual recognition|General|noun
nationalization|Business & Finance|noun
natural monopoly|Business & Finance|noun
non-communicable disease|Health|noun
non-refoulement|General|noun
normative standard|General|noun
nuclear deterrence|Science|noun
occupational hazard|Work & Career|noun
offshoring|Business & Finance|noun
open government|General|noun
patent protection|Business & Finance|noun
path dependency|General|noun
payroll tax|Business & Finance|noun
peace dividend|General|noun
per capita income|Business & Finance|noun
pharmaceutical|Health|noun
political instability|General|noun
population aging|General|noun
poverty trap|General|noun
power asymmetry|General|noun
precautionary principle|Science|noun
primary education|Education|noun
prison reform|General|noun
private sector|Business & Finance|noun
progressive education|Education|noun
proportionality|General|noun
protectionism|Business & Finance|noun
proxy war|General|noun
public health campaign|Health|noun
racial profiling|General|noun
rational choice theory|General|noun
reforestation|Science|noun
refugee camp|General|noun
regional inequality|General|noun
regulation gap|General|noun
rehabilitation|Health|noun
religious freedom|General|noun
renewable portfolio|Science|noun
reparations|General|noun
resilient community|General|noun
restorative justice|General|noun
rule of law|General|noun
safe water|Health|noun
sanctions|Business & Finance|noun
sanitation access|Health|noun
security sector|General|noun
self-determination|General|noun
separation of powers|General|noun
sexual harassment|Work & Career|noun
shareholder value|Business & Finance|noun
smart city|Technology|noun
social entrepreneur|Business & Finance|noun
social insurance|Business & Finance|noun
social mobility|General|noun
social protection|General|noun
soft skills|Work & Career|noun
solar energy|Science|noun
state capacity|General|noun
statutory|General|adjective
structural racism|General|noun
student performance|Education|noun
subsidized housing|General|noun
supply-side reform|Business & Finance|noun
surveillance capitalism|Technology|noun
tariff reform|Business & Finance|noun
tax compliance|Business & Finance|noun
technology transfer|Technology|noun
transaction tax|Business & Finance|noun
transparency index|General|noun
treaty|General|noun
unemployment benefit|Work & Career|noun
universal healthcare|Health|noun
urban resilience|General|noun
value added tax|Business & Finance|noun
vertical mobility|General|noun
wage theft|Work & Career|noun
water scarcity|Science|noun
wealth gap|Business & Finance|noun
wind energy|Science|noun
women's rights|General|noun
work permit|Work & Career|noun
youth unemployment|Work & Career|noun

abatement|Business & Finance|noun
accountability framework|General|noun
acute poverty|General|noun
agricultural subsidy|Business & Finance|noun
arable land|Science|noun
asset stripping|Business & Finance|noun
baseline funding|Business & Finance|noun
behavioral economics|Business & Finance|noun
biodiversity loss|Science|noun
border tax|Business & Finance|noun
carbon pricing|Science|noun
child poverty|General|noun
clean water access|Health|noun
climate refugee|General|noun
coastal erosion|Science|noun
community policing|General|noun
conflict mediation|General|noun
consumer debt|Business & Finance|noun
criminal justice|General|noun
cross-border trade|Business & Finance|noun
debt relief|Business & Finance|noun
decentralization|General|noun
demand management|Business & Finance|noun
digital divide|Technology|noun
drug decriminalization|Health|noun
early childhood education|Education|noun
economic stimulus|Business & Finance|noun
environmental audit|Science|noun
fair elections|General|noun
fiscal policy|Business & Finance|noun
flood management|Science|noun
food sovereignty|General|noun
gender equality|General|noun
green infrastructure|Science|noun
housing shortage|General|noun
institutional reform|General|noun
journalism|General|noun
land degradation|Science|noun
livable wage|Work & Career|noun
local governance|General|noun
marine ecosystem|Science|noun
mass incarceration|General|noun
migrant integration|General|noun
municipal debt|Business & Finance|noun
noise pollution|Science|noun
occupational therapy|Health|noun
pension reform|Business & Finance|noun
periodic review|General|noun
poverty alleviation|General|noun
preventive medicine|Health|noun
prison overcrowding|General|noun
proxy indicator|Business Analysis|noun
public accountability|General|noun
racial equity|General|noun
regulatory reform|Business & Finance|noun
renewable transition|Science|noun
resettlement|General|noun
rural poverty|General|noun
safe housing|General|noun
school funding|Education|noun
scientific literacy|Education|noun
tax evasion|Business & Finance|noun
trade deficit|Business & Finance|noun
traffic congestion|General|noun
victim support|Health|noun
voluntary sector|General|noun
wage growth|Work & Career|noun
working poverty|Work & Career|noun

# New words added from CEFR list
kid|General|noun
sale|General|noun
tour|General|noun
welcome|General|noun
drop|General|noun
fair|General|noun
feet|General|noun
jesus|General|noun
absolutely|General|noun
immediately|General|noun
minute|General|noun
nature|General|noun
quick|General|noun
unless|General|noun
sell|General|noun
beyond|General|noun
extra|General|noun
leaving|General|noun
numbers|General|noun
winning|General|noun
agree|General|noun
clean|General|noun
computer|General|noun
manager|General|noun
photo|General|noun
scene|General|noun
spend|General|noun
sun|General|noun
canada|General|noun
safety|General|noun
sold|General|noun
episode|General|noun
justice|General|noun
collection|General|noun
gun|General|noun
heavy|General|noun
search|General|noun
subject|General|noun
train|General|noun
wide|General|noun
asking|General|noun
calling|General|noun
continued|General|noun
definitely|General|noun
designed|General|noun
expected|General|noun
friday|General|noun
particularly|General|noun
fit|General|noun
hotel|General|noun
interested|General|noun
judge|General|noun
lady|General|noun
leader|General|noun
letter|General|noun
material|General|noun
nobody|General|noun
plus|General|noun
product|General|noun
regular|General|noun
secretary|General|noun
sister|General|noun
unit|General|noun
centre|General|noun
author|General|noun
dad|General|noun
developed|General|noun
fear|General|noun
generally|General|noun
german|General|noun
gotta|General|noun
named|General|noun
floor|General|noun
hurt|General|noun
opening|General|noun
opinion|General|noun
reach|General|noun
rule|General|noun
seriously|General|noun
stupid|General|noun
successful|General|noun
contract|General|noun
degree|General|noun
pro|General|noun
bar|General|noun
battle|General|noun
brain|General|noun
finished|General|noun
growing|General|noun
image|General|noun
insurance|General|noun
meant|General|noun
active|General|noun
dance|General|noun
none|General|noun
weekend|General|noun
wonder|General|noun
worst|General|noun
russia|General|noun
stock|General|noun
australian|General|noun
cancer|General|noun
africa|General|noun
band|General|noun
fan|General|noun
imagine|General|noun
latest|General|noun
older|General|noun
operation|General|noun
protect|General|noun
secret|General|noun
beach|General|noun
cash|General|noun
senior|General|noun
spring|General|noun
sunday|General|noun
awesome|General|noun
clearly|General|noun
effort|General|noun
ended|General|noun
fighting|General|noun
learning|General|noun
multiple|General|noun
organization|General|noun
telling|General|noun
wear|General|noun
address|General|noun
luck|General|noun
marriage|General|noun
necessary|General|noun
rich|General|noun
skin|General|noun
sweet|General|noun
touch|General|noun
yesterday|General|noun
choose|General|noun
anyway|General|noun
bought|General|noun
christmas|General|noun
commission|General|noun
direct|General|noun
dream|General|noun
easily|General|noun
finish|General|noun
grand|General|noun
indian|General|noun
literally|General|noun
supposed|General|noun
thus|General|noun
grow|General|noun
machine|General|noun
notice|General|noun
professor|General|noun
sit|General|noun
trip|General|noun
closed|General|noun
damage|General|noun
directly|General|noun
doctor|General|noun
drink|General|noun
driving|General|noun
planning|General|noun
shown|General|noun
caught|General|noun
congress|General|noun
disease|General|noun
doubt|General|noun
established|General|noun
gay|General|noun
greater|General|noun
male|General|noun
plant|General|noun
spot|General|noun
worse|General|noun
captain|General|noun
smith|General|noun
associated|General|noun
carry|General|noun
crime|General|noun
effects|General|noun
explain|General|noun
fully|General|noun
highly|General|noun
holding|General|noun
japan|General|noun
mrs|General|noun
winter|General|noun
advice|General|noun
agreement|General|noun
block|General|noun
shop|General|noun
sick|General|noun
teacher|General|noun
peter|General|noun
rates|General|noun
showing|General|noun
award|General|noun
broken|General|noun
christian|General|noun
comment|General|noun
equipment|General|noun
eventually|General|noun
holy|General|noun
killing|General|noun
nation|General|noun
camera|General|noun
foot|General|noun
hall|General|noun
meaning|General|noun
politics|General|noun
weather|General|noun
catch|General|noun
coast|General|noun
ran|General|noun
saturday|General|noun
avoid|General|noun
cell|General|noun
economy|General|noun
mission|General|noun
nine|General|noun
trial|General|noun
truly|General|noun
activity|General|noun
coffee|General|noun
heat|General|noun
interview|General|noun
library|General|noun
queen|General|noun
sitting|General|noun
walking|General|noun
application|General|noun
putting|General|noun
standing|General|noun
division|General|noun
evening|General|noun
flight|General|noun
freedom|General|noun
murder|General|noun
accept|General|noun
glass|General|noun
northern|General|noun
receive|General|noun
ride|General|noun
screen|General|noun
serve|General|noun
speech|General|noun
traffic|General|noun
tree|General|noun
wonderful|General|noun
placed|General|noun
prior|General|noun
religious|General|noun
royal|General|noun
slow|General|noun
appear|General|noun
broke|General|noun
distance|General|noun
eating|General|noun
fat|General|noun
fell|General|noun
finding|General|noun
learned|General|noun
losing|General|noun
mobile|General|noun
wearing|General|noun
whom|General|noun
agreed|General|noun
airport|General|noun
lie|General|noun
sad|General|noun
square|General|noun
traditional|General|noun
twice|General|noun
wind|General|noun
worry|General|noun
raised|General|noun
begin|General|noun
bottom|General|noun
everybody|General|noun
famous|General|noun
investment|General|noun
keeping|General|noun
fresh|General|noun
lake|General|noun
mouth|General|noun
owner|General|noun
remain|General|noun
score|General|noun
smart|General|noun
throw|General|noun
totally|General|noun
wedding|General|noun
cent|General|noun
realize|General|noun
brand|General|noun
count|General|noun
covered|General|noun
critical|General|noun
forced|General|noun
fourth|General|noun
mostly|General|noun
tom|General|noun
acting|General|noun
african|General|noun
hill|General|noun
metal|General|noun
pull|General|noun
push|General|noun
rose|General|noun
seat|General|noun
village|General|noun
click|General|noun
profile|General|noun
sexual|General|noun
arms|General|noun
estate|General|noun
failed|General|noun
faith|General|noun
fashion|General|noun
fund|General|noun
hearing|General|noun
louis|General|noun
paris|General|noun
understanding|General|noun
agent|General|noun
draw|General|noun
memory|General|noun
ring|General|noun
rise|General|noun
silver|General|noun
soul|General|noun
animal|General|noun
apply|General|noun
prime|General|noun
spread|General|noun
becoming|General|noun
dude|General|noun
enter|General|noun
ex|General|noun
japanese|General|noun
weird|General|noun
adult|General|noun
healthy|General|noun
prison|General|noun
somebody|General|noun
stone|General|noun
wild|General|noun
window|General|noun
winner|General|noun
artist|General|noun
remains|General|noun
senate|General|noun
strength|General|noun
apparently|General|noun
chairman|General|noun
edition|General|noun
engineering|General|noun
grade|General|noun
happening|General|noun
institute|General|noun
mike|General|noun
monday|General|noun
bag|General|noun
camp|General|noun
dangerous|General|noun
indeed|General|noun
television|General|noun
till|General|noun
trouble|General|noun
correct|General|noun
removed|General|noun
spirit|General|noun
cast|General|noun
christ|General|noun
extremely|General|noun
firm|General|noun
leaves|General|noun
usa|General|noun
dinner|General|noun
impossible|General|noun
produce|General|noun
progress|General|noun
proud|General|noun
require|General|noun
shut|General|noun
van|General|noun
wood|General|noun
shooting|General|noun
apart|General|noun
cat|General|noun
decide|General|noun
eastern|General|noun
fifth|General|noun
gift|General|noun
helping|General|noun
herself|General|noun
joe|General|noun
marketing|General|noun
mary|General|noun
nor|General|noun
garden|General|noun
length|General|noun
lucky|General|noun
patient|General|noun
possibly|General|noun
prove|General|noun
rare|General|noun
software|General|noun
bridge|General|noun
dear|General|noun
setting|General|noun
birth|General|noun
copy|General|noun
host|General|noun
israel|General|noun
journal|General|noun
neither|General|noun
horse|General|noun
magic|General|noun
map|General|noun
net|General|noun
request|General|noun
stick|General|noun
vehicle|General|noun
wake|General|noun
birthday|General|noun
boss|General|noun
dress|General|noun
alive|General|noun
apple|General|noun
bitch|General|noun
fellow|General|noun
florida|General|noun
knowing|General|noun
aid|General|noun
guide|General|noun
roll|General|noun
surprise|General|noun
yours|General|noun
youth|General|noun
busy|General|noun
corner|General|noun
driver|General|noun
responsibility|General|noun
slightly|General|noun
beauty|General|noun
billion|General|noun
concerned|General|noun
conversation|General|noun
criminal|General|noun
develop|General|noun
fix|General|noun
fly|General|noun
frank|General|noun
operating|General|noun
technical|General|noun
treat|General|noun
violence|General|noun
iron|General|noun
lovely|General|noun
mad|General|noun
magazine|General|noun
religion|General|noun
somewhere|General|noun
web|General|noun
dry|General|noun
prepared|General|noun
breaking|General|noun
edge|General|noun
evil|General|noun
excited|General|noun
forever|General|noun
henry|General|noun
injury|General|noun
martin|General|noun
ordered|General|noun
parliament|General|noun
wine|General|noun
guard|General|noun
honest|General|noun
medicine|General|noun
mountain|General|noun
port|General|noun
shoot|General|noun
sport|General|noun
stress|General|noun
taste|General|noun
tea|General|noun
arm|General|noun
bay|General|noun
blog|General|noun
reaction|General|noun
spanish|General|noun
closer|General|noun
core|General|noun
description|General|noun
excellent|General|noun
exist|General|noun
lee|General|noun
likes|General|noun
victory|General|noun
afternoon|General|noun
clothes|General|noun
festival|General|noun
flat|General|noun
ill|General|noun
kick|General|noun
mail|General|noun
pair|General|noun
plane|General|noun
plenty|General|noun
prince|General|noun
proper|General|noun
quarter|General|noun
session|General|noun
shape|General|noun
sky|General|noun
teaching|General|noun
transfer|General|noun
useful|General|noun
valley|General|noun
zone|General|noun
assistant|General|noun
emergency|General|noun
picked|General|noun
providing|General|noun
regional|General|noun
britain|General|noun
classic|General|noun
electric|General|noun
entirely|General|noun
failure|General|noun
harry|General|noun
hello|General|noun
links|General|noun
massive|General|noun
toward|General|noun
windows|General|noun
accident|General|noun
advanced|General|noun
mix|General|noun
museum|General|noun
promise|General|noun
rain|General|noun
remove|General|noun
terrible|General|noun
tired|General|noun
turning|General|noun
warm|General|noun
boat|General|noun
cheap|General|noun
discussion|General|noun
duty|General|noun
purchase|General|noun
steel|General|noun
anywhere|General|noun
drinking|General|noun
fantastic|General|noun
flying|General|noun
governor|General|noun
hundred|General|noun
industrial|General|noun
joint|General|noun
supporting|General|noun
vice|General|noun
afraid|General|noun
moon|General|noun
ocean|General|noun
suit|General|noun
border|General|noun
canadian|General|noun
crew|General|noun
profit|General|noun
proof|General|noun
beer|General|noun
command|General|noun
crowd|General|noun
dick|General|noun
fixed|General|noun
forest|General|noun
intelligence|General|noun
intended|General|noun
labour|General|noun
chair|General|noun
historical|General|noun
honestly|General|noun
jump|General|noun
suddenly|General|noun
user|General|noun
writer|General|noun
yellow|General|noun
ray|General|noun
asian|General|noun
attorney|General|noun
ben|General|noun
debt|General|noun
expensive|General|noun
grew|General|noun
noted|General|noun
originally|General|noun
tech|General|noun
download|General|noun
hero|General|noun
joke|General|noun
loan|General|noun
planet|General|noun
restaurant|General|noun
shopping|General|noun
soft|General|noun
sugar|General|noun
surprised|General|noun
transport|General|noun
communication|General|noun
selected|General|noun
stuck|General|noun
ancient|General|noun
combined|General|noun
connected|General|noun
ending|General|noun
exercise|General|noun
express|General|noun
formed|General|noun
increasing|General|noun
taught|General|noun
accepted|General|noun
drama|General|noun
lawyer|General|noun
mistake|General|noun
platform|General|noun
pool|General|noun
regarding|General|noun
route|General|noun
scientific|General|noun
smoke|General|noun
teach|General|noun
squad|General|noun
applied|General|noun
boston|General|noun
confirmed|General|noun
device|General|noun
entry|General|noun
golden|General|noun
grant|General|noun
grown|General|noun
muslim|General|noun
testing|General|noun
abuse|General|noun
comfortable|General|noun
hole|General|noun
holiday|General|noun
laugh|General|noun
leg|General|noun
lunch|General|noun
milk|General|noun
pack|General|noun
snow|General|noun
storm|General|noun
weak|General|noun
angry|General|noun
candidate|General|noun
relatively|General|noun
sub|General|noun
concern|General|noun
developing|General|noun
discuss|General|noun
everywhere|General|noun
falling|General|noun
fox|General|noun
italian|General|noun
jersey|General|noun
letters|General|noun
listening|General|noun
ll|General|noun
max|General|noun
payment|General|noun
actor|General|noun
journey|General|noun
kitchen|General|noun
quiet|General|noun
asia|General|noun
chain|General|noun
cook|General|noun
cute|General|noun
specifically|General|noun
split|General|noun
chapter|General|noun
confidence|General|noun
equal|General|noun
measure|General|noun
task|General|noun
taxes|General|noun
twenty|General|noun
affected|General|noun
aircraft|General|noun
lay|General|noun
smile|General|noun
strange|General|noun
talent|General|noun
temperature|General|noun
properly|General|noun
reduced|General|noun
sam|General|noun
sat|General|noun
approved|General|noun
argument|General|noun
considering|General|noun
determined|General|noun
extended|General|noun
faster|General|noun
fault|General|noun
friendly|General|noun
ladies|General|noun
lights|General|noun
mixed|General|noun
thousand|General|noun
tony|General|noun
troops|General|noun
bowl|General|noun
chicken|General|noun
meat|General|noun
neck|General|noun
novel|General|noun
shirt|General|noun
slowly|General|noun
stadium|General|noun
whenever|General|noun
worried|General|noun
zero|General|noun
bird|General|noun
remaining|General|noun
besides|General|noun
blame|General|noun
bob|General|noun
collected|General|noun
coverage|General|noun
dying|General|noun
experienced|General|noun
fired|General|noun
forgot|General|noun
inspired|General|noun
ma|General|noun
ministry|General|noun
mode|General|noun
passing|General|noun
surgery|General|noun
trading|General|noun
tuesday|General|noun
vision|General|noun
literature|General|noun
orange|General|noun
ourselves|General|noun
signal|General|noun
stream|General|noun
typically|General|noun
unfortunately|General|noun
usual|General|noun
wave|General|noun
champion|General|noun
cream|General|noun
serving|General|noun
suicide|General|noun
daniel|General|noun
estimated|General|noun
giant|General|noun
jail|General|noun
kingdom|General|noun
mayor|General|noun
opposite|General|noun
theme|General|noun
thursday|General|noun
medium|General|noun
recommend|General|noun
ticket|General|noun
unable|General|noun
upset|General|noun
wing|General|noun
breakfast|General|noun
customer|General|noun
perfectly|General|noun
seek|General|noun
solo|General|noun
spoke|General|noun
alcohol|General|noun
assembly|General|noun
bright|General|noun
carrying|General|noun
chosen|General|noun
conservative|General|noun
cutting|General|noun
desire|General|noun
drunk|General|noun
fail|General|noun
granted|General|noun
id|General|noun
improved|General|noun
jewish|General|noun
largely|General|noun
laughing|General|noun
hang|General|noun
newspaper|General|noun
painting|General|noun
row|General|noun
salt|General|noun
scared|General|noun
switch|General|noun
cycle|General|noun
republic|General|noun
scottish|General|noun
bomb|General|noun
creative|General|noun
dealing|General|noun
don|General|noun
educational|General|noun
entertainment|General|noun
goods|General|noun
info|General|noun
mainly|General|noun
offering|General|noun
wales|General|noun
bell|General|noun
danger|General|noun
mile|General|noun
prize|General|noun
register|General|noun
singing|General|noun
universe|General|noun
warning|General|noun
blow|General|noun
